Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
20001,磁盘空间容量不足,Insufficient space of hard disk,Unzureichender Festplattenspeicherplatz,ディスク容量が不十分です,Capacité disque insuffisante,Onvoldoende schijfcapaciteit,Capacidade de disco insuficiente,Capacidad de disco insuficiente,Capacità del disco insufficiente,디스크 공간 용량 부족,磁盤空間容量不足
20002,用户没有权限读写磁盘路径,Permission denied to read or write to disk path,Keine Berechtigung zum Lesen oder Schreiben des Festplattenpfads,ユーザーにはディスクパスの読み取りまたは書き込み権限がありません,Autorisation refusée pour lire ou écrire sur le chemin du disque,Toestemming geweigerd om te lezen of schrijven naar schijf pad,Permissão negada para ler ou escrever no caminho do disco,Permiso denegado para leer o escribir en la ruta del disco,Permesso negato per leggere o scrivere nella percorso del disco Backup fallito,사용자에게 디스크 경로 읽기/쓰기 권한 없음,用戶沒有權限讀寫磁盤路徑
20003,备份失败,Backup task failed.,Sicherungsaufgabe fehlgeschlagen,バックアップタスクが失敗しました,Échec de la sauvegarde,Backup mislukt,Falha no backup,Fallo en la copia de seguridad,Backup non riuscito,백업 실패,備份失敗
20004,备份目的地丢失,Backup destination lost,Das Sicherungsziel verloren,バックアップ先が失われました,Destination de sauvegarde introuvable,Backup bestemming verloren,Destino do backup perdido,Se ha perdido el destino de la copia de seguridad,Destinazione del backup persa,백업 대상지 분실,備份目的地丟失
20005,服务器内部错误,Internal error,Interner Fehler,内部エラー,Erreur interne du serveur,Interne server fout,Erro interno do servidor,Error interno del servidor,Errore interno del server,서버 내부 오류,服務器內部錯誤
20006,临时文件不存在,Temporary file not found,Temporäre Datei nicht gefunden,一時ファイルが存在しません,Fichier temporaire introuvable,Tijdelijk bestand niet gevonden,Ficheiro temporário não encontrado,Archivo temporal no encontrado,File temporaneo non trovato,임시 파일 없음,臨時文件不存在
20007,照片已经存在,Photo already exists,Das Foto existiert bereits,写真はすでに存在します,La photo existe déjà,Foto bestaat al,A foto já existe,La foto ya existe,Foto già esistente,사진이 이미 존재함,照片已經存在
20008,路径不规范或不存在,The path is either non-standard or not found,Der Pfad ist entweder nicht standardisiert oder nicht gefunden.,パスが標準化されていないか、存在しません,"Le chemin est soit non conforme, soit introuvable",Het pad is niet standaard of niet gevonden,O caminho é inválido ou não encontrado,La ruta no es estándar o no se encuentra,Il percorso è non standard o non trovato,경로가 규격에 맞지 않거나 존재하지 않음,路徑不規範或不存在
20009,连接不存在,Connection not found,Verbindung nicht gefunden,接続が存在しません,La connexion n'existe pas,Verbinding niet gevonden,Conexão não encontrada,Conexión no encontrada,Connessione non trovata,연결 없음,連接不存在
20010,备份包正在被使用,Backup package is being used,Sicherungspaket wird verwendet,バックアップパッケージが使用中です,Le package de sauvegarde est en cours d'utilisation,Backup pakket wordt gebruikt,O pacote de backup está em uso,Se está utilizando un paquete de copia de seguridad,Il pacchetto di backup è in uso,백업 패키지가 사용 중임,備份包正在被使用
20011,无效的备份包,Invalid Backup package	,Ungültiges Sicherungspaket,無効なバックアップ パッケージ,Package de sauvegarde invalide,Ongeldig backup pakket,Pacote de backup inválido,Paquete de copia de seguridad no válido,Pacchetto di backup non valido,유효하지 않은 백업 패키지,無效的備份包
20012,备份上传的临时目录不存在,Temporary directory for backup upload not found	,Das temporäre Verzeichnis für den Backup-Upload nicht gefunden,バックアップアップロード用の一時ディレクトリが存在しません,Le répertoire temporaire pour l'envoi de la sauvegarde n'existe pas,Tijdelijke directory voor backup upload niet gevonden,Diretório temporário para upload de backup não encontrado,No se ha encontrado el directorio temporal para subir la copia de seguridad,Directory temporanea per il caricamento del backup non trovata,백업 업로드 임시 디렉토리 없음,備份上傳的臨時目錄不存在
20107,用户名或密码错误,Wrong username or password,Falscher Benutzername oder falsches Passwort,ユーザー名またはパスワードが間違っています,Nom d'utilisateur ou mot de passe incorrect,Verkeerde gebruikers naam of wachtwoord,Nome de utilizador ou palavra-passe incorretos,Nombre de usuario o contraseña incorrectos,Nome utente o password errati,사용자 이름 또는 비밀번호 오류,用戶名或密碼錯誤
20108,ip校验错误,IP verification error,IP-Überprüfungsfehler,IP検証エラー,Erreur de vérification IP,IP verificatie fout,Erro de verificação de IP,Error de verificación de IP,Errore di verifica IP,IP 검증 오류,ip校驗錯誤
20109,所选本地路径不存在,The selected local path not found,Der ausgewählte lokale Pfad nicht gefunden,選択したローカル パスは存在しません,Le chemin local sélectionné n'existe pas,Het geselecteerde lokale pad niet gevonden,O caminho local selecionado não encontrado,No se ha encontrado la ruta local seleccionada,Percorso locale selezionato non trovato,선택한 로컬 경로 존재하지 않음,所選本地路徑不存在
20110,同步失败,Sync error.,Synchronisierungsfehler,同期に失敗しました,Échec de la synchronisation,Synchronisatie fout.,Erro de sincronização.,Error de sincronización.,Errore di sincronizzazione,동기화 실패,同步失敗
20111,空间超出限额,Space exceeded quota.,Speicherplatz überschreitet das Kontingent,スペースがクォータを超えています,Espace dépassant la limite de quota,Ruimte overschrijdt quotum.,O espaço excedeu a quota.,Se ha superado la cuota de espacio.,Spazio superato rispetto alla quota,공간 한도 초과,空間超出限額
20112,所选远程路径不存在,The selected remote path not found,Der ausgewählte Remotepfad nicht gefunden,選択したリモート パスは存在しません,Le chemin distant sélectionné  introuvable,Het geselecteerde externe pad niet gevonden,O caminho remoto selecionado não encontrado,No se ha encontrado la ruta remota seleccionada,Percorso remoto selezionato non trovato,선택한 원격 경로 존재하지 않음,所選遠程路徑不存在
20113,请求远端服务器错误,Remote server request error,Fehler bei der Anfrage an den Remote-Server,リモートサーバーのリクエスト中にエラーが発生しました,Erreur de requête au serveur distant,Fout bij externe server aanvraag,Erro na solicitação do servidor remoto,Error de solicitud del servidor remoto,Errore di richiesta al server remoto,원격 서버 요청 오류,請求遠端服務器錯誤
20114,未知错误,Unknown error.,Unbekannter Fehler,不明なエラー,Erreur inconnue,Onbekende fout.,Erro desconhecido,Error desconocido.,Errore sconosciuto,알 수 없는 오류,未知錯誤
20115,远程路径使用中,Remote path is being used,Remotepfad wird verwendet,使用中のリモートパス,Le chemin distant est en cours d'utilisation,Extern pad wordt gebruikt,Caminho remoto em uso,Se está utilizando la ruta remota,Il percorso remoto è in uso,원격 경로 사용 중,遠程路徑使用中
20116,同步目录无权限，空间不足，丢失等，导致创建标记失败,"Permission denied or missing or insufficient space for the current sync directory, and the sync mark cannot be created successfully. You can cancel the sync task and create again (the synced files are not affected)","Aufgrund von keiner Berechtigung für das Synchronisierungsverzeichnis, unzureichendem Speicherplatz, Verlust usw. ist das Erstellen eines Markers fehlgeschlagen",同期ディレクトリにパーミッションがない、容量が足りない、見つからないなどの理由でマーカーの作成に失敗する,"La création du marqueur a échoué en raison d'un manque d'autorisation pour le répertoire, d'un espace de stockage insuffisant, d'une perte, etc.","Marker creatie mislukt vanwege gebrek aan toestemming voor directory, onvoldoende opslagruimte, verlies, enz.","Falha na criação de marcador devido à falta de permissão para o diretório, espaço insuficiente, perda, etc.","La creación del marcador falló debido a la falta de permiso para el directorio, espacio de almacenamiento insuficiente, pérdida, etc.","Creazione del marker non riuscita a causa della mancanza di autorizzazioni per la directory, spazio di archiviazione insufficiente, perdita, ecc.","동기화 디렉터리 권한 없음, 공간 부족, 분실 등으로 인해 표시 생성 실패",同步目錄無權限，空間不足，丟失等，導致創建標記失敗
20117,因远程路径无权限导致任务失败，请及时处理,"task failed since remote path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den Remote-Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",リモート・パスにパーミッションがないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué en raison d'un manque d'autorisation pour le chemin distant, veuillez traiter cela rapidement.","Taak mislukt vanwege gebrek aan toestemming voor extern pad, handel dit snel af.","Falha na tarefa devido à falta de permissão para o caminho remoto, por favor, trate-o prontamente","La tarea ha fallado debido a la falta de permisos para la ruta remota, por favor, resuélvalo lo antes posible.","Attività non riuscita a causa della mancanza di autorizzazioni per il percorso remoto, si prega di gestire tempestivamente.","원격 경로 권한 없음으로 인해 작업 실패, 신속히 처리 필요",因遠程路徑無權限導致任務失敗，請及時處理
20118,查询用户权限失败,Failed to query user permissions,Fehler beim Abfragen von Benutzerberechtigungen,ユーザー権限のクエリに失敗しました,Échec de la requête des autorisations utilisateur,Kan gebruikers machtigingen niet opvragen,Falha ao consultar permissões de utilizador,Fallo en la consulta de permisos de usuario,Impossibile interrogare i permessi utente,사용자 권한 조회 실패,查詢用戶權限失敗
20119,不支持连接同一台设备,Connection to the same device is unavailable,Verbindung mit demselben Gerät ist nicht verfügbar,同一デバイスへの接続はサポートされていません,La connexion au même appareil est indisponible,Verbinding met hetzelfde apparaat is niet beschikbaar,Conexão com o mesmo dispositivo indisponível,La conexión con el mismo dispositivo no está disponible,Connessione allo stesso dispositivo non disponibile,같은 장치 연결 지원하지 않음,不支持連接同一臺設備
20120,同步时发生文件状态异常,File status error detected during sync.,Beim Synchronisieren wurde Dateistatusfehler erkannt,同期中にファイルステータス例外が発生しました,Erreur d'état de fichier détectée lors de la synchronisation.,Bestands status fout gedetecteerd tijdens synchronisatie.,Erro de estado de ficheiro detetado durante a sincronização,Error de estado de archivo detectado durante la sincronización.,Errore di stato del file rilevato durante la sincronizzazione.,동기화 중 파일 상태 이상 발생,同步時發生文件狀態異常
20201,ip校验错误,IP verification error,IP-Überprüfungsfehler,IP検証エラー,Erreur de vérification IP,IP verificatie fout,Erro de verificação de IP,Error de verificación de IP,Errore di verifica IP,IP 검증 오류,ip校驗錯誤
20202,用户名或密码错误,Wrong username or password,Falscher Benutzername oder falsches Passwort,ユーザー名またはパスワードが間違っています,Nom d'utilisateur ou mot de passe incorrect,Verkeerde gebruikers naam of wachtwoord,Nome de utilizador ou palavra-passe incorretos,Nombre de usuario o contraseña incorrectos,Nome utente o password errati,사용자 이름 또는 비밀번호 오류,用戶名或密碼錯誤
20203,网络异常断开,Network disconnected abnormally.,Netzwerk unerwartet getrennt,ネットワークの異常切断,Déconnexion anormale du réseau.,Netwerk abnormaal verbroken.,Desconexão de rede anormal,Red desconectada anormalmente.,Connessione di rete disconnessa in modo anomalo.,네트워크 비정상 연결 끊김,網絡異常斷開
20204,连接被对端关闭,Connection disabled by other clients.,Verbindung wurde von anderen Clients deaktiviert,接続はピアによって閉じられました,Connexion désactivée par d'autres clients.,Verbinding uitgeschakeld door andere clients.,Conexão desativada por outros clientes.,Conexión desactivada por otros clientes.,Connessione disabilitata da altri client.,연결이 상대방에 의해 종료됨,連接被對端關閉
20205,连接不存在,Connection not found,Verbindung nicht gefunden,接続が存在しません,Connexion introuvable,Verbinding niet gevonden,Conexão não encontrada,Conexión no encontrada,Connessione non trovata,연결 없음,連接不存在
20206,无法连接远程服务器,Unable to connect to remote server.,Verbindung zum Remote-Server nicht möglich,リモートサーバーに接続できません,Impossible de se connecter au serveur distant.,Kan geen verbinding maken met externe server.,Não foi possível conectar ao servidor remoto.,No se puede conectar con el servidor remoto.,Impossibile connettersi al server remoto.,원격 서버에 연결할 수 없음,無法連接遠程服務器
20207,请求远端服务器错误,Remote server request error,Fehler bei der Anfrage an den Remote-Server,リモートサーバーのリクエスト中にエラーが発生しました,Erreur de requête au serveur distant,Fout bij verzoek externe server,Erro na solicitação do servidor remoto,Error de solicitud de servidor remoto,Errore di richiesta al server remoto,원격 서버 요청 오류,請求遠端服務器錯誤
20208,磁盘空间容量不足,Insufficient space of hard disk,Unzureichender Festplattenspeicherplatz,ディスク容量が不十分です,Capacité disque insuffisante,Onvoldoende schijf capaciteit,Capacidade de disco insuficiente,Capacidad de disco insuficiente,Capacità del disco insufficiente,디스크 공간 용량 부족,磁盤空間容量不足
20209,空间超出限额,Space exceeded quota.,Speicherplatz überschreitet das Kontingent,スペースがクォータを超えています,Espace dépassant la limite de quota,Ruimte overschreed quotum.,O espaço excedeu a quota.,El espacio ha superado la cuota.,Spazio superato rispetto alla quota,공간 한도 초과,空間超出限額
20210,本地空间超出限额,Local space exceeded quota.,Lokaler Speicherplatz überschreitet das Kontingent,ローカルスペースがクォータを超えています,Espace local dépassant la limite de quota,Lokale ruimte overschreed quotum.,O espaço local excedeu a quota.,Espacio local excedido.,Spazio locale superato rispetto alla quota,로컬 공간 한도 초과,本地空間超出限額
20211,远程空间超出限额,Remote space exceeded quota.,Remote-Speicherplatz überschreitet das Kontingent,リモートスペースがクォータを超えています,Espace distant dépassant la limite de quota,Externe ruimte overschreed quotum.,O espaço remoto excedeu a quota.,El espacio remoto ha superado la cuota.,Spazio remoto superato rispetto alla quota,원격 공간 한도 초과,遠程空間超出限額
20212,路径不规范或不存在,The path is either non-standard or not found,Der Pfad ist entweder nicht standardisiert oder nicht gefunden.,パスが標準化されていないか、存在しません,"Le chemin est soit non conforme, soit introuvable",Het pad is niet standaard of niet gevonden,O caminho é inválido ou não encontrado,La ruta no es estándar o no se encuentra,Il percorso è non standard o non trovato,경로가 규격에 맞지 않거나 존재하지 않음,路徑不規範或不存在
20213,所选本地路径不存在,The selected local path not found,Der ausgewählte lokale Pfad nicht gefunden,選択したローカル パスは存在しません,Le chemin local sélectionné est introuvable,Het geselecteerde lokale pad is niet gevonden,O caminho local selecionado não foi encontrado,No se ha encontrado la ruta local seleccionada,Percorso locale selezionato non trovato,선택한 로컬 경로 존재하지 않음,所選本地路徑不存在
20214,所选远程路径不存在,The selected remote path not found,Der ausgewählte Remotepfad nicht gefunden,選択したリモート パスは存在しません,Le chemin distant sélectionné est introuvable,Het geselecteerde externe pad is niet gevonden,O caminho remoto selecionado não foi encontrado,No se ha encontrado la ruta remota seleccionada,Percorso remoto selezionato non trovato,선택한 원격 경로가 존재하지 않음,所選遠程路徑不存在
20215,连接失败，请尽快前往处理,"connection failed, please handle it promptly",Verbindung fehlgeschlagen. Bitte so schnell wie möglich bearbeiten,接続に失敗しました、できるだけ早く処理してください,"Échec de la connexion, veuillez le résoudre dès que possible","Verbinding mislukt, los het zo snel mogelijk op.","Falha na conexão, corrija o problema o mais rápido possível.","La conexión ha fallado, por favor, resuélvalo lo antes posible.","Connessione non riuscita, si prega di risolvere il problema al più presto.","연결 실패, 신속히 처리 바랍니다",連接失敗，請儘快前往處理
20216,因本地路径不存在导致任务失败，请及时处理,"task failed since local path not exist, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil der lokale Pfad nicht vorhanden war. Bitte rechtzeitig bearbeiten.",ローカルパスが存在しないため、タスクは失敗しました、できるだけ早く処理してください,"La tâche a échoué car le chemin local est introuvable, veuillez le traiter rapidement.","Taak mislukt omdat het lokale pad niet is gevonden, handel het snel af.","Falha na tarefa porque o caminho local não foi encontrado, resolva o problema prontamente.","La tarea ha fallado porque no se ha encontrado la ruta local, por favor, resuélvalo lo antes posible.","Attività non riuscita perché il percorso locale non è stato trovato, si prega di gestire tempestivamente.","로컬 경로가 존재하지 않아 작업 실패, 신속히 처리 바랍니다",因本地路徑不存在導致任務失敗，請及時處理
20217,因远程路径不存在导致任务失败，请及时处理,"task failed since remote path not exist, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil der Remote-Pfad nicht vorhanden war. Bitte rechtzeitig bearbeiten.",リモートパスが存在しないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué car le chemin distant est introuvable, veuillez le traiter rapidement.","Taak mislukt omdat het externe pad niet is gevonden, handel het snel af.","Falha na tarefa porque o caminho remoto não foi encontrado,  resolva o problema prontamente.",La tarea ha fallado porque no se ha encontrado la ruta remota.,"Attività non riuscita perché il percorso remoto non è stato trovato, si prega di gestire tempestivamente.","원격 경로가 존재하지 않아 작업 실패, 신속히 처리 바랍니다",因遠程路徑不存在導致任務失敗，請及時處理
20218,因本地路径无权限导致任务失败，请及时处理,"task failed since local path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den lokalen Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",ローカルパスに権限がないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué en raison d'un manque d'autorisation pour le chemin local, veuillez le traiter rapidement.","Taak mislukt vanwege gebrek aan toestemming voor het lokale pad, handel het snel af.","Falha na tarefa devido à falta de permissão para o caminho local,  resolva o problema prontamente.","Tarea fallida debido a la falta de permiso para la ruta local, por favor, resuélvalo lo antes posible.","Attività non riuscita a causa della mancanza di autorizzazioni per il percorso locale, si prega di gestire tempestivamente.","로컬 경로 권한 없음으로 작업 실패, 신속히 처리 바랍니다",因本地路徑無權限導致任務失敗，請及時處理
20219,因远程路径无权限导致任务失败，请及时处理,"task failed since remote path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den Remote-Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",リモート・パスにパーミッションがないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué en raison d'un manque d'autorisation pour le chemin distant, veuillez le traiter rapidement.","Taak mislukt vanwege gebrek aan toestemming voor het externe pad, handel het snel af.","Falha na tarefa devido à falta de permissão para o caminho remoto,  resolva o problema prontamente.","Tarea fallida debido a la falta de permiso para la ruta remota, por favor, resuélvalo inmediatamente.","Attività non riuscita a causa della mancanza di autorizzazioni per il percorso remoto, si prega di gestire tempestivamente.","원격 경로 권한 없음으로 작업 실패, 신속히 처리 바랍니다",因遠程路徑無權限導致任務失敗，請及時處理
20220,因本地存储空间不足导致任务失败，请及时处理,"Insufficient local storage space causing task failure, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil nicht genügend lokaler Speicherplatz vorhanden ist. Bitte rechtzeitig bearbeiten.",ローカル・ストレージ容量が不足しているため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué en raison d'un espace de stockage local insuffisant, veuillez le traiter rapidement.","Taak mislukt vanwege onvoldoende lokale opslag ruimte, handel het snel af.","Falha na tarefa devido a espaço insuficiente no armazenamento local,  resolva o problema prontamente.",Tarea fallida debido a espacio de almacenamiento local insuficiente.,"Attività non riuscita a causa di spazio di archiviazione locale insufficiente, si prega di gestire tempestivamente.","로컬 저장 공간 부족으로 작업 실패, 신속히 처리 바랍니다",因本地存儲空間不足導致任務失敗，請及時處理
20221,因远程存储空间不足导致任务失败，请及时处理,"Insufficient remote storage space causing task failure, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil nicht genügend Remote-Speicherplatz vorhanden ist. Bitte rechtzeitig bearbeiten.",リモート・ストレージ容量が不足しているため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué en raison d'un espace de stockage distant insuffisant, veuillez le traiter rapidement.","Taak mislukt vanwege onvoldoende externe opslag ruimte, handel het snel af.","Falha na tarefa devido a espaço insuficiente no armazenamento remoto,  resolva o problema prontamente.",Tarea fallida debido a espacio de almacenamiento remoto insuficiente.,"Attività non riuscita a causa di spazio di archiviazione remoto insufficiente, si prega di gestire tempestivamente.","원격 저장 공간 부족으로 작업 실패, 신속히 처리 바랍니다",因遠程存儲空間不足導致任務失敗，請及時處理
20222,本地路径（%s）不存在,local path (%s) not exist,Der lokale Pfad „%s“ nicht gefunden,ローカル・パス(%s)が存在しません,Le chemin local (%s) introuvable,Lokaal pad (%s) niet gevonden,Caminho local (%s) não encontrado,Ruta local (%s) no encontrada ,Percorso locale (%s) non trovato,로컬 경로（%s）가 존재하지 않음,本地路徑（%s）不存在
20223,远程路径（%s）不存在,remote path (%s) not exist,Der Remotepfad „%s“ nicht gefunden,リモート・パス(%s)が存在しません,Le chemin distant (%s) introuvable,Extern pad (%s) niet gevonden,Caminho remoto (%s) não encontrado,Ruta remota (%s) no encontrada ,Percorso remoto (%s) non trovato,원격 경로（%s）가 존재하지 않음,遠程路徑（%s）不存在
20224,用户没有权限读写磁盘路径,Permission denied to read or write to disk path,Keine Berechtigung zum Lesen oder Schreiben des Festplattenpfads,ユーザーにはディスクパスの読み取りまたは書き込み権限がありません,Autorisation refusée pour lire ou écrire sur le chemin du disque,Toestemming geweigerd om te lezen of schrijven naar schijf pad,Permissão negada para leitura ou escrita no caminho do disco,Permiso denegado para leer o escribir en la ruta del disco,Permesso negato per leggere o scrivere nel percorso del disco.,사용자에게 디스크 경로 읽기/쓰기 권한이 없음,用戶沒有權限讀寫磁盤路徑
20225,本地路径无权限,local path no permission,Keine Berechtigung für lokalen Pfad,ローカル・パスが存在しません,Accès refusé au chemin local,Toegang tot lokaal pad geweigerd,Acesso negado ao caminho local,Acceso denegado a ruta local,Accesso al percorso locale negato.,로컬 경로 권한 없음,本地路徑無權限
20226,远程路径无权限,remote path no permission,Keine Berechtigung für Remotepfad,リモート・パスにはパーミッションがありません,Accès refusé au chemin distant,Toegang tot extern pad geweigerd,Acesso negado ao caminho remoto,Acceso denegado a ruta remota,Accesso al percorso remoto negato.,원격 경로 권한 없음,遠程路徑無權限
20227,本地路径（%s）无权限,local path (%s) no permission,Keine Berechtigung für lokalen Pfad „%s“,ローカル・パス(%s)が存在しません,Accès refusé au chemin local (%s),Toegang tot lokaal pad (%s) geweigerd,Caminho local (%s) acesso negado,Acceso denegado a ruta local (%s),Accesso negato al percorso locale (%s).,로컬 경로（%s）권한 없음,本地路徑（%s）無權限
20228,远程路径（%s）无权限,remote path (%s) no permission,Keine Berechtigung für Remotepfad„%s“,リモート・パス(%s)にはパーミッションがありません,Accès refusé au chemin distant (%s),Toegang tot extern pad (%s) geweigerd,Caminho remoto (%s) acesso negado,Acceso denegado a ruta remota (%s),Accesso negato al percorso remoto (%s).,원격 경로（%s）권한 없음,遠程路徑（%s）無權限
20229,本地存储空间不足,No space left on local device,Unzureichender lokaler Speicherplatz,ローカル・ストレージ容量が不足しています,Espace de stockage local insuffisant.,Onvoldoende lokale opslag ruimte.,Espaço de armazenamento local insuficiente,Espacio de almacenamiento local insuficiente.,Spazio di archiviazione locale insufficiente.,로컬 저장 공간 부족,本地存儲空間不足
20230,远程存储空间不足,No space left on remote device,Unzureichender Remote-Speicherplatz,リモート・ストレージの容量が不足しています,Espace de stockage distant insuffisant.,Onvoldoende externe opslag ruimte.,Espaço de armazenamento remoto insuficiente,Espacio de almacenamiento remoto insuficiente.,Spazio di archiviazione remoto insufficiente.,원격 저장 공간 부족,遠程存儲空間不足
20231,任务失败，请及时处理,"rsync backup fail, please handle it promptly",Aufgabe fehlgeschlagen. Bitte rechtzeitig bearbeiten,タスクが失敗しました、できるだけ早く処理してください,"La tâche a échoué, veuillez la traiter rapidement.","Taak mislukt, handel dit onmiddellijk af.","Tarefa falhou, resolva imediatamente","Tarea fallida, por favor, resuélvala inmediatamente.","Operazione non riuscita, si prega di intervenire tempestivamente.","작업 실패, 신속히 처리 바랍니다",任務失敗，請及時處理
20232,任务终止,task interrupt,Aufgabe abgebrochen,タスク終了,Tâche terminée.,Taak beëindigd.,Tarefa terminada,Tarea finalizada.,Operazione terminata.,작업 종료,任務終止
20233,目录或文件消失,Directory or file vanished,Verzeichnis oder Datei verloren,ディレクトリまたはファイルの消失,Répertoire ou fichier disparu,Map of bestand verloren.,Diretório ou ficheiro perdido,Directorio o archivo perdido.,Directory o file persi.,디렉터리 또는 파일이 사라짐,目錄或文件消失
20234,查询用户权限失败,Failed to query user permissions,Fehler beim Abfragen von Benutzerberechtigungen,ユーザー権限のクエリに失敗しました,Échec de la requête des autorisations utilisateur,Kan gebruikers machtigingen niet opvragen,Falha ao consultar permissões do utilizador,Fallo en la consulta de permisos de usuario,Impossibile recuperare le autorizzazioni utente.,사용자 권한 조회 실패,查詢用戶權限失敗
20235,个人文件夹,Personal folder,Persönlicher Ordner,個人フォルダ,Dossier personnel,Persoonlijke map,Pasta pessoal,Carpeta personal,Cartella personale.,개인 폴더,個人文件夾
20236,用户文件夹,User Folder,Benutzerordner," ユーザーフォルダー",Dossier utilisateur,Gebruikers map,Pasta do utilizador,Carpeta de usuario,Cartella utente.,사용자 폴더,用戶文件夾
20237,共享文件夹,Shared Folder,Freigegebener Ordner," 共有フォルダ",Dossier partagé,Gedeelde map,Pasta partilhada,Carpeta compartida,Cartella condivisa.,공유 폴더,共用資料夾
20238,应用安装位置容量不足,Insufficient capacity for app installation location.,Unzureichende Kapazität für den Installationsort der App.,アプリのインストール場所の容量が不足しています。,Capacité insuffisante pour l'emplacement d'installation de l'application,Onvoldoende capaciteit voor app installatie locatie.,Capacidade insuficiente para instalação do app,Capacidad insuficiente para la ubicación de instalación de la aplicación.,Capacità insufficiente per la posizione di installazione dell'app.,애플리케이션 설치 위치 용량 부족,應用安裝位置容量不足
20239,您已连接到此设备，请从已有连接列表选择,Already connected to this device. Please select from the existing connection list.,Bereits mit diesem Gerät verbunden.Bitte wählen Sie aus der Liste der vorhandenen Verbindungen.,このデバイスに接続されています。既存の接続リストから選択してください,Déjà connecté à cet appareil. Veuillez sélectionner dans la liste des connexions existantes,Al verbonden met dit apparaat. Selecteer uit de bestaande verbindings lijst.,"Já ligado a este dispositivo, selecione da lista de ligações existentes","Ya está conectado a este dispositivo. Por favor, seleccione de la lista de conexiones existentes.",Già connesso a questo dispositivo. Selezionare dalla lista delle connessioni esistenti.,이미 이 장치에 연결되어 있습니다. 기존 연결 목록에서 선택하세요,您已連接到此裝置，請從已有連接清單選擇
