Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
20998,系统繁忙或者超时,System busy or timeout,Systemauslastung oder Zeitüberschreitung,システムがビジー状態かタイムアウトになっています,Système occupé ou délai d'attente dépassé,Systeem bezet of time-out.,Sistema ocupado ou tempo limite excedido,El sistema está ocupado o se ha agotado el tiempo de espera.,Sistema occupato o timeout.,시스템이 바쁘거나 시간이 초과되었습니다,系統繁忙或者超時
20999,未知错误,Unknown error.,Unbekannter Fehler,不明なエラー,Erreur inconnue,Onbekende fout.,Erro desconhecido,Error desconocido.,Errore sconosciuto.,알 수 없는 오류,未知錯誤
21000,同步失败,Sync error.,Synchronisierungsfehler,同期に失敗しました,Erreur de synchronisation,Synchronisatie fout.,Erro de sincronização,Error de sincronización.,Errore di sincronizzazione.,동기화 실패,同步失敗
21001,同步时发生文件状态异常,File status error detected during sync.,Beim Synchronisieren wurde Dateistatusfehler erkannt,同期中にファイルステータス例外が発生しました,Une anomalie d'état de fichier s'est produite lors de la synchronisation,Bestands status fout gedetecteerd tijdens synchronisatie.,Erro no estado do ficheiro detetado durante a sincronização,Error de estado de archivo detectado durante la sincronización.,Errore dello stato del file rilevato durante la sincronizzazione.,동기화 중 파일 상태 이상 발생,同步時發生文件狀態異常
21002,远程路径使用中,Remote path is being used,Remotepfad wird verwendet,使用中のリモートパス,Le chemin distant est en cours d'utilisation,Extern pad wordt gebruikt,Caminho remoto em uso,Se está utilizando una ruta remota,Il percorso remoto è in uso.,원격 경로 사용 중,遠程路徑使用中
21003,不支持连接同一台设备,Connection to the same device is unavailable,Verbindung mit demselben Gerät ist nicht verfügbar,同一デバイスへの接続はサポートされていません,La connexion au même appareil est indisponible,Verbinding met hetzelfde apparaat is niet beschikbaar,Ligação ao mesmo dispositivo indisponível,La conexión con el mismo dispositivo no está disponible,Connessione allo stesso dispositivo non disponibile.,동일 장치 연결 지원하지 않음,不支持連接同一臺設備
21004,同步目录无权限，空间不足，丢失等，导致创建标记失败,"Permission denied or missing or insufficient space for the current sync directory, and the sync mark cannot be created successfully. You can cancel the sync task and create again (the synced files are not affected)","Aufgrund von keiner Berechtigung für das Synchronisierungsverzeichnis, unzureichendem Speicherplatz, Verlust usw. ist das Erstellen eines Markers fehlgeschlagen",同期ディレクトリにパーミッションがない、容量が足りない、見つからないなどの理由でマーカーの作成に失敗する,"Échec de la création du marqueur en raison d'un manque d'autorisation pour le répertoire, d'un espace de stockage insuffisant, d'une perte, etc.","Marker creatie mislukt vanwege gebrek aan machtiging voor map, onvoldoende opslag ruimte, verlies, enz.","Falha na criação do marcador por falta de permissão no diretório, espaço insuficiente, perda, etc.","La creación del marcador ha fallado por falta de permisos para el directorio, espacio de almacenamiento insuficiente, pérdida, etc.","Creazione del marker non riuscita a causa di mancanza di autorizzazione alla directory, spazio di archiviazione insufficiente o perdita del percorso.","동기화 디렉터리 권한 없음, 공간 부족, 손실 등으로 마킹 생성 실패",同步目錄無權限，空間不足，丟失等，導致創建標記失敗
21005,当前文件夹或其子文件夹/父文件夹已用作另一个同步任务的文件夹，请重新选择。,The current folder or its subfolder/parent folder is already used for another sync task. Please select again,Dieser Ordner oder einer seiner Unterordner / übergeordneten Ordner wird bereits für eine andere Synchronisierungsaufgabe verwendet. Bitte wählen Sie einen anderen Ordner.,現在のフォルダまたはそのサブフォルダ/親フォルダは、既に他の同期タスクのフォルダで使用されています。再度選択してください。,Le dossier actuel ou l'un de ses sous-dossiers/dossiers parents est déjà utilisé pour une autre tâche de synchronisation. Veuillez en sélectionner un autre.,Deze map of een van de submappen / bovenliggende mappen wordt al gebruikt voor een andere synchronisatietaak. Kies een andere map.,A pasta atual ou a sua subpasta/pasta principal já está em uso noutra tarefa de sincronização. Selecione novamente,"La carpeta actual o su subcarpeta/carpeta principal ya es utilizada por otra tarea de sincronización. Por favor, seleccione de nuevo",La cartella corrente o una sua sottocartella/cartella padre è già utilizzata da un'altra attività di sincronizzazione. Selezionarne un'altra,현재 폴더 또는 그 하위/상위 폴더가 다른 동기화 작업에 사용 중입니다. 다른 폴더를 선택하세요,當前文件夾或其子文件夾/父文件夾已用作另一個同步任務的文件夾，請重新選擇。
22000,备份包正在被使用,Backup package is being used,Sicherungspaket wird verwendet,バックアップパッケージが使用中です,Le paquet de sauvegarde est en cours d'utilisation,Backup pakket wordt gebruikt,Pacote de cópia de segurança em uso,Se está utilizando un paquete de copia de seguridad,Il pacchetto di backup è in uso.,백업 패키지가 사용 중입니다,備份包正在被使用
22001,无效的备份包,Invalid Backup package	,Ungültiges Sicherungspaket,無効なバックアップ パッケージ,Paquet de sauvegarde invalide,Ongeldig backup pakket,Pacote de cópia de segurança inválido,Paquete de copia de seguridad no válido,Pacchetto di backup non valido.,유효하지 않은 백업 패키지,無效的備份包
22002,备份上传的临时目录不存在,Temporary directory for backup upload not found	,Das temporäre Verzeichnis für den Backup-Upload nicht gefunden,バックアップアップロード用の一時ディレクトリが存在しません,Répertoire temporaire pour le téléchargement de la sauvegarde introuvable,Tijdelijke map voor backup upload niet gevonden,Diretório temporário para upload do backup não encontrado,No se ha encontrado el directorio temporal para la subida de la copia de seguridad,Directory temporanea per il caricamento del backup non trovata.,백업 업로드 임시 디렉터리가 존재하지 않음,備份上傳的臨時目錄不存在
22003,备份包初始化失败,Backup package initialization failed.,Initialisierung des Sicherungspakets fehlgeschlagen,バックアップパッケージの初期化に失敗しました,Échec de l'initialisation du paquet de sauvegarde,Initialisatie backup pakket mislukt.,Falha na inicialização do pacote de backup,Ha fallado la inicialización del paquete de copia de seguridad.,Inizializzazione del pacchetto di backup non riuscita.,백업 패키지 초기화 실패,備份包初始化失敗
22004,打包失败,Packaging failed.,Verpackung fehlgeschlagen,梱包に失敗しました,Échec de l'emballage,Inpakken mislukt.,Falha na criação do pacote,Error de empaquetado.,Creazione del pacchetto non riuscita.,패키징 실패,打包失敗
22005,本地路径（%s）不存在/无权限/容量不足,Local path (%s) not found/No permission/Insufficient capacity.,Lokaler Pfad (%s) nicht gefunden/Keine Berechtigung/Unzureichende Kapazität,ローカルパス（%s）が存在しない/権限がない/容量不足,Chemin local (%s) introuvable/Permission refusée/Capacité insuffisante.,Lokaal pad (%s) niet gevonden/Geen machtiging/Onvoldoende capaciteit.,Caminho local (%s) não encontrado/sem permissão/capacidade insuficiente,Ruta local (%s) no encontrada/Sin permisos/Capacidad insuficiente.,Percorso locale (%s) non trovato/Permesso negato/Capacità insufficiente.,로컬 경로（%s）존재하지 않음/권한 없음/용량 부족,本地路徑（%s）不存在/無權限/容量不足
22006,远程路径（%s）不存在/无权限/容量不足,Remote path (%s) not found/No permission/Insufficient capacity.,Der Remote-Pfad (%s) nicht gefunden/Keine Berechtigung/Unzureichende Kapazität,リモートパス（%s）が存在しない/権限がない/容量不足,Chemin distant (%s) introuvable/Permission refusée/Capacité insuffisante.,Extern pad (%s) niet gevonden/Geen toestemming/Onvoldoende capaciteit.,Caminho remoto (%s) não encontrado/sem permissão/capacidade insuficiente,Ruta remota (%s) no encontrada/Sin permisos/Capacidad insuficiente.,Percorso remoto (%s) non trovato/Permesso negato/Capacità insufficiente.,원격 경로（%s）존재하지 않음/권한 없음/용량 부족,遠程路徑（%s）不存在/無權限/容量不足
22007,备份包校验失败，请及时处理,"Backup package verification failed, please handle promptly.",Sicherungspaket-Verifizierung fehlgeschlagen. Bitte rechtzeitig bearbeiten.,バックアップパッケージの検証に失敗しました。できるだけ早く処理してください。,"Échec de la vérification du paquet de sauvegarde, veuillez le traiter rapidement.","Verificatie van backup pakket mislukt, handel dit onmiddellijk af.","Falha na verificação do pacote de backup, resolva imediatamente",Fallo en la verificación del paquete de copia de seguridad.,"Verifica del pacchetto di backup non riuscita, si prega di intervenire tempestivamente.","백업 패키지 검증 실패, 신속히 처리하세요",備份包校驗失敗，請及時處理
22008,rsync服务器没可用共享目录,No shared directory available for RSYNC server.,Kein freigegebenes Verzeichnis verfügbar für RSYNC-Server ,RSYNCサーバーには利用可能な共有ディレクトリがありません。,Aucun répertoire partagé disponible pour le serveur rsync.,Geen gedeelde directory beschikbaar voor rsync-server.,Nenhum diretório partilhado disponível para o servidor rsync,No hay directorio compartido disponible para el servidor rsync.,Nessuna directory condivisa disponibile per il server rsync.,rsync 서버에 사용 가능한 공유 디렉터리가 없음,rsync服務器沒可用共享目錄
22009,任务已经运行,Task is already running.,Aufgabe wurde bereits ausgeführt.,タスクはすでに実行中です。,La tâche est déjà en cours d'exécution.,Taak wordt al uitgevoerd.,Tarefa já em execução,La tarea ya se está ejecutando.,L'operazione è già in esecuzione.,작업이 이미 실행 중입니다,任務已經運行
22010,服务异常中断，请及时处理,"Service interrupted abnormally, please handle promptly.",Dienst unerwartet unterbrochen. Bitte rechtzeitig bearbeiten.,サービスが異常終了しました。できるだけ早く処理してください。,"Service interrompu anormalement, veuillez le traiter rapidement.","Service abnormaal onderbroken, handel dit onmiddellijk af.","Serviço interrompido anormalmente, resolva imediatamente",El servicio se ha interrumpido de forma anormal.,"Servizio interrotto in modo anomalo, si prega di intervenire tempestivamente.","서비스 비정상 중단, 신속히 처리하세요",服務異常中斷，請及時處理
22011,任务异常失败（%s）,Task failed abnormally (%s).,Aufgabe unerwartet fehlgeschlagen (%s) ,タスクが異常に失敗しました（%s）。,Échec anormal de la tâche (%s).,Taak abnormaal mislukt (%s).,Tarefa falhou anormalmente (%s),Error anormal en la tarea (%s).,Operazione non riuscita in modo anomalo (%s).,작업 비정상 실패（%s）,任務異常失敗（%s）
22012,任务正在进行备份，无法还原，请稍后再试,"Backing up task... Unable to restore, please retry later.",Aufgabe wird gesichert... Wiederherstellen nicht möglich. Bitte später erneut versuchen.,バックアップが進行中のため、復元できません。後で再試行してください。,"Sauvegarde de la tâche... Impossible de restaurer, veuillez réessayer plus tard.","Taak backuppen... Kan niet worden hersteld, probeer het later opnieuw.","Fazendo backup... Não é possível restaurar, tente mais tarde","Realizando copia de seguridad de la tarea... No se puede restaurar, vuelva a intentarlo más tarde.","Backup in corso... Impossibile ripristinare, riprovare più tardi.",작업이 백업 중이므로 복원이 불가합니다. 잠시 후 다시 시도하세요,任務正在進行備份，無法還原，請稍後再試
22013,任务正在进行还原，无法还原，请稍后再试,"Restoring task... Unable to restore, please retry later.",Aufgabe wird wiederhergestellt... Wiederherstellen nicht möglich. Bitte später erneut versuchen.,復元が進行中のため、復元できません。後で再試行してください。,"Restauration de la tâche... Impossible de restaurer, veuillez réessayer plus tard.","Taak herstellen... Kan niet worden hersteld, probeer het later opnieuw.","Restaurando... Não é possível restaurar, tente mais tarde","Restaurando tarea... No se puede restaurar, vuelva a intentarlo más tarde.","Ripristino in corso... Impossibile ripristinare, riprovare più tardi.",작업이 복원 중이므로 복원이 불가합니다. 잠시 후 다시 시도하세요,任務正在進行還原，無法還原，請稍後再試
22014,备份包里没有可恢复的备份版本,No restorable backup versions in backup package.,Keine wiederherstellbare Sicherungsversion im Sicherungspaket.,バックアップパッケージに復元可能なバージョンがありません。,Aucune version de sauvegarde restaurable dans le paquet de sauvegarde.,Geen herstelbare backup versies in backup pakket.,Nenhuma versão de backup disponível para restauração,No hay versiones de copia de seguridad restaurables en el paquete de copia de seguridad.,Nessuna versione ripristinabile presente nel pacchetto di backup.,백업 패키지에 복원 가능한 백업 버전이 없습니다,備份包裏沒有可恢復的備份版本
22015,请检查设备的网络设置，是否禁用了部分IP使用,Please check device network settings for any disabled IP addresses.,Bitte überprüfen Sie die Netzwerkeinstellungen des Geräts auf deaktivierte IP-Adressen.,デバイスのネットワーク設定を確認し、一部のIPアドレスが無効化されていないか確認してください。,Veuillez vérifier les paramètres réseau de l'appareil pour toute adresse IP désactivée.,Controleer de netwerk instellingen van het apparaat op uitgeschakelde IP adressen.,"Por favor, verifique as definições de rede do dispositivo para endereços IP desativados",Compruebe la configuración de red del dispositivo para ver si hay direcciones IP deshabilitadas.,Controllare le impostazioni di rete del dispositivo per eventuali indirizzi IP disabilitati.,장치의 네트워크 설정을 확인하여 일부 IP 사용이 차단되었는지 확인하세요,請檢查設備的網絡設置，是否禁用了部分IP使用
23000,个人文件夹,Personal folder,Persönlicher Ordner,個人フォルダ,Dossier personnel,Persoonlijke map,Pasta pessoal,Carpeta personal,Cartella personale.,개인 폴더,個人文件夾
23001,备份失败,Backup task failed.,Sicherungsaufgabe fehlgeschlagen,バックアップタスクが失敗しました,Échec de la sauvegarde,Backup mislukt,Falha no backup,Copia de seguridad fallida,Backup non riuscito.,백업 실패,備份失敗
23002,备份目的地丢失,Backup destination lost,Das Sicherungsziel verloren,バックアップ先が失われました,Destination de sauvegarde perdue,Backup bestemming verloren,Destino do backup perdido,Se ha perdido el destino de la copia de seguridad,Destinazione di backup persa.,백업 목적지 분실,備份目的地丟失
23003,当前备份目的地已丢失，请检查相册备份设置。,The current backup destination lost. Please check backup settings of the “Photos”.,Der aktuelle sicherungszielort verloren. Bitte überprüfen Sie die „Fotos“-Sicherungseinstellungen.,現在のバックアップ先が失われました。アルバムのバックアップ設定を確認してください,La destination de sauvegarde actuelle est perdue. Veuillez vérifier les paramètres de sauvegarde des “Photos”.,"De huidige backup bestemming is verloren. Controleer de backup instellingen van de ""Foto's"".","O destino atual do backup foi perdido, verifique as definições do backup em ""Fotos""","Se ha perdido el destino de la copia de seguridad actual. Compruebe la configuración de copia de seguridad de ""Fotos"".",La destinazione di backup attuale è stata persa. Controllare le impostazioni di backup di “Foto”.,현재 백업 목적지가 분실되었습니다. 앨범 백업 설정을 확인하세요,此備份目的地已丟失，請檢查相簿備份設定。
23004,临时文件不存在,Temporary file not found,Temporäre Datei nicht gefunden,一時ファイルが存在しません,Fichier temporaire introuvable,Tijdelijk bestand niet gevonden,Ficheiro temporário não encontrado,Archivo temporal no encontrado,File temporaneo non trovato.,임시 파일이 존재하지 않습니다,臨時文件不存在
23005,照片已经存在,Photo already exists,Das Foto existiert bereits,写真はすでに存在します,La photo existe déjà,Foto bestaat al,Foto já existente,La foto ya existe,La foto esiste già.,사진이 이미 존재합니다,照片已經存在
23006,批量操作超过最大限制,Batch operation exceeds the maximum limit,Stapelverarbeitung überschreitet die maximale Grenze,一括操作が最大制限を超えました。,L'opération par lot dépasse la limite maximale,Batch bewerking overschrijdt de maximum limiet,Operação em lote excede o limite máximo,La operación por lotes supera el límite máximo,L'operazione batch supera il limite massimo.,일괄 작업이 최대 제한을 초과했습니다,批量操作超過最大限制
1001000,路径不存在/无权限/容量不足,Path not found/No permission/Insufficient capacity.,Pfad nicht gefunden /Keine Berechtigung/Unzureichende Kapazität,パスが存在しない/権限がない/容量が不足,Chemin introuvable / Autorisation refusée / Capacité insuffisante.,Pad niet gevonden/Geen toestemming/Onvoldoende capaciteit.,Caminho não encontrado/sem permissão/capacidade insuficiente,Ruta no encontrada/Sin permisos/Capacidad insuficiente.,Percorso non trovato/Permesso negato/Capacità insufficiente.,경로 존재하지 않음/권한 없음/용량 부족,路徑不存在/無權限/容量不足
1001001,路径不存在/无权限,Path not found/No permission.,Pfad nicht gefunden /Keine Berechtigung,パスが存在しない/権限がない,Chemin introuvable / Autorisation refusée.,Pad niet gevonden/Geen toestemming.,Caminho não encontrado/sem permissão,Ruta no encontrada/Sin permisos.,Percorso non trovato/Permesso negato.,경로 존재하지 않음/권한 없음,路徑不存在/無權限
1001002,验证失败，请检查连接信息,"Verification failed, please check connection info.",Validierung fehlgeschlagen. Bitte Verbindungsinformationen überprüfen.,検証に失敗しました。接続情報を確認してください。,"Échec de la vérification, veuillez vérifier les informations de connexion.","Verificatie mislukt, controleer de verbindings gegevens.","Falha na verificação, verifique informações de ligação","Error de verificación, compruebe la información de conexión.","Verifica non riuscita, controllare le informazioni di connessione.","검증 실패, 연결 정보를 확인하세요",驗證失敗，請檢查連接信息
1001003,连接失败，请检查网络或连接信息,"Connection failed, please check the network or connection info.",Verbindung fehlgeschlagen. Bitte Netzwerk oder Verbindungsinformationen überprüfen.,接続に失敗しました。ネットワークまたは接続情報を確認してください。,"Échec de la connexion, veuillez vérifier le réseau ou les informations de connexion.","Verbinding mislukt, controleer het netwerk of de verbindings gegevens.","Falha na ligação, verifique rede ou informações de ligação","Error de conexión, compruebe la red o la información de conexión.","Connessione non riuscita, controlla la rete o le informazioni di connessione.","연결 실패, 네트워크 또는 연결 정보를 확인하세요",連接失敗，請檢查網絡或連接信息
1001004,备份目的地异常，请重新选择,"Backup destination error, please select again.",Sicherungszielort-Fehler. Bitte erneut auswählen.,バックアップ先に異常があります。再選択してください。,"Erreur de destination de sauvegarde, veuillez sélectionner à nouveau.","Fout in backup bestemming, selecteer opnieuw.","Erro no destino do backup, selecione novamente",Error en el destino de la copia de seguridad.,"Errore nella destinazione di backup, selezionare di nuovo.","백업 목적지 이상, 다시 선택하세요",備份目的地異常，請重新選擇
1001005,根文件夹不存在/无权限,Root folder not found/permission denied.,Stammordner nicht gefunden/Unzureichende Berechtigungen,ルートフォルダが存在しない/権限がない,Dossier racine introuvable / Autorisation refusée.,Hoofdmap niet gevonden/machtiging geweigerd.,Pasta raiz não encontrada/permissão negada,Carpeta raíz no encontrada/permiso denegado.,Cartella radice non trovata/Permesso negato.,루트 폴더 존재하지 않음/권한 없음,根文件夾不存在/無權限
1001006,当前文件夹或其子文件夹/父文件夹已用作其他备份任务，请重新选择,The current folder or its subfolder/parent folder is already used in another backup task. Please select again,Dieser Ordner oder einer seiner Unterordner / übergeordneten Ordner wird bereits für eine andere Sicherungsaufgabe verwendet. Bitte wählen Sie einen anderen Ordner.,現在のフォルダまたはそのサブフォルダ/ 親フォルダは、既に他のバックアップタスクで使用されています。再選択してください。,Le dossier actuel ou l'un de ses sous-dossiers/dossiers parents est déjà utilisé pour une autre tâche de sauvegarde. Veuillez en sélectionner un autre.,Deze map of een van de submappen / bovenliggende mappen wordt al gebruikt voor een andere back-uptaak. Kies een andere map.,A pasta atual ou a sua subpasta/pasta principal já está a ser usada noutra tarefa de backup. Selecione novamente,La carpeta actual o su subcarpeta/carpeta principal ya se usó otra tarea de copia de seguridad. Seleccione de nuevo,La cartella corrente o una sua sottocartella/cartella padre è già utilizzata in un'altra attività di backup. Selezionarne un'altra,현재 폴더 또는 그 하위/상위 폴더가 다른 백업 작업에 사용되고 있습니다. 다른 폴더를 선택하세요.,當前文件夾或其子文件夾/父文件夾已用作其他備份任務，請重新選擇
1001007,外部设备已弹出,External device ejected,Externes Gerät wurde ausgeworfen,外部デバイスが取り出されました,Périphérique externe éjecté,Extern apparaat is uitgeworpen,Dispositivo externo ejetado,Dispositivo externo expulsado,Dispositivo esterno espulso,외부 장치가 꺼내졌습니다,外部設備已彈出
1001008,路径不存在/无权限/容量不足/外部设备系统不兼容,Path does not exist/No permission/Insufficient capacity/Incompatible with the external device system,Pfad existiert nicht/Keine Berechtigung/Unzureichende Kapazität/Inkompatibles System des externen Geräts,パスが存在しない / 権限がない / 容量が不足している / 外部デバイスのシステムと互換性がない,Chemin inexistant / Permission refusée / Capacité insuffisante / Système du périphérique externe incompatible,Pad bestaat niet/Geen toestemming/Onvoldoende capaciteit/Systeem van extern apparaat is niet compatibel,Caminho inexistente / Sem permissão / Capacidade insuficiente / Incompatível com o sistema do dispositivo externo,La ruta no existe/No hay permiso/Capacidad insuficiente/Incompatible con el sistema del dispositivo externo,Il percorso non esiste/Nessun permesso/Capacità insufficiente/Incompatibile con il sistema del dispositivo esterno,경로를 찾을 수 없음/권한 없음/용량 부족/외부 장치 시스템 호환 불가,路徑不存在/無權限/容量不足/外部設備系統不兼容
1001009,任务名称不能包含下列任何字符:/,"The task name cannot contain "":"" and ""/""",Der Aufgabenname darf die Zeichen „:“ und „/“ nicht enthalten,タスク名には「:」と「/」を含めることができません,"Le nom de la tâche ne peut pas contenir "":"" et ""/""","Taaknaam mag de tekens "":"" en ""/"" niet bevatten","O nome da tarefa não pode conter "":"" e ""/""","El nombre de la tarea no puede contener "":"" ni ""/""","Il nome dell'attività non può contenere i caratteri "":"" e ""/""",작업 이름 다음 문자 포함 불가:/,任務名稱不能包含下列任何字符:/
1001010,1.请检查备份目的地服务器的IP地址、端口、用户名或密码是否正确<br/>2.请检查备份目的地服务器的备份服务是否已开启，如：启用rsync、webdav等服务<br/>3.请确保备份目的地服务器可正常访问，如：检查NAT配置的端口转发规则或防火墙策略,"1. Please check whether the IP address, port, username, or password of the destination backup server is correct<br/>2. Please ensure the backup services of the destination backup server are enabled, such as rsync, webdav, etc.<br/> 3. Please make sure the destination backup server is accessible by checking NAT port forwarding rules, firewall policies or others","1. Überprüfen Sie, ob die IP-Adresse, der Port, der Benutzername und das Passwort des Sicherungszielort-Servers korrekt sind.<br/>2. Vergewissern Sie sich, dass die Sicherungsdienste des Sicherungszielort-Servers aktiviert sind, z. B. rsync und WebDAV.<br/>3. Vergewissern Sie sich, dass der Sicherungszielort-Server zugänglich ist, z. B. durch die Kontrolle der NAT-Ports oder der Firewall-Politik.",１、バックアップ先サーバーの IP アドレス、ポート、ユーザー名またはパスワードが正しいかどうかをご確認ください。<br/>２、バックアップ先サーバーのバックアップサービス（例：rsync、WebDAV などのサービス）が有効になっているかどうかをご確認ください。<br/>３、バックアップ先サーバーに正常にアクセスできることをご確認ください。例えば：NAT 設定のポートフォワーディングルールまたはファイアウォールポリシーを確認する。,"1. Veuillez vérifier si l'adresse IP, le port, le nom d'utilisateur ou le mot de passe du serveur de sauvegarde de destination sont corrects.<br/>2. Veuillez vérifier que les services de sauvegarde du serveur de destination sont activés, tels que rsync, webdav, etc.<br/>3. Veuillez vous assurer que le serveur de sauvegarde de destination est accessible, par exemple en vérifiant les règles de redirection de port NAT ou les stratégies du pare-feu.","1. Controleer of het IP-adres, de poort, de gebruikers naam en het wachtwoord van de back-up server correct zijn.<br/>2. Zorg ervoor dat de back-up services van de back-up server zijn ingeschakeld, zoals rsync en WebDAV.<br/>3. Zorg ervoor dat de back-up server toegankelijk is en controleer bijvoorbeeld de toegang tot de NAT-poort of firewall.","1. Verifique se o IP, porta, usuário ou palavra-passe do servidor de destino de backup estão corretos.<br/>2.Certifique-se de que os serviços de backup do servidor de destino estejam ativados, como rsync, WebDAV, etc.<br/>3.Verifique se o servidor de destino de backup está acessível (ex: confira as regras de redirecionamento de portas da configuração NAT ou políticas de firewall).","1. Verifique si la dirección IP, el puerto, el nombre de usuario o la contraseña del servidor de respaldo de destino es correcto<br/>2. Asegúrese de que los servicios de respaldo del servidor de respaldo de destino estén habilitados, como rsync, webdav, etc.<br/>3. Asegúrese de que el servidor de respaldo de destino sea accesible verificando las reglas de reenvío de puertos NAT, las políticas de firewall, etc","1. Verifica che l'indirizzo IP, la porta, il nome utente o la password del server di destinazione del backup siano corretti. <br/>2. Verifica che i servizi di backup del server di destinazione siano abilitati, come rsync, webdav, ecc. <br/>3. Si assicuri che il server di destinazione del backup sia accessibile controllando le regole di inoltro porte NAT, le policy del firewall o altri settaggi.","1. 백업 대상 서버의 IP 주소, 포트, 사용자 이름 또는 비밀번호가 올바른지 확인하십시오.<br/>2. 백업 대상 서버의 백업 서비스가 활성화되어 있는지 확인하십시오. (예: rsync, webdav 등의 서비스 활성화)<br/>3. 백업 대상 서버에 정상적으로 액세스 가능한지 확인하십시오. (예: NAT 포트 포워딩 규칙 또는 방화벽 정책 확인)",1.請檢查備份目的地服務器的IP地址、端口、用戶名或密碼是否正確<br/>2.請檢查備份目的地服務器的備份服務是否已開啓，如：啓用rsync、webdav等服務<br/>3.請確保備份目的地服務器可正常訪問，如：檢查NAT配置的端口轉發規則或防火牆策略
1001011,备份包校验失败,Backup package verification failed,Überprüfung des Sicherungspakets fehlgeschlagen,バックアップパッケージの検証に失敗した。,Échec de la vérification du paquet de sauvegarde,Verificatie van back-uppakket mislukt,Falha na verificação do pacote de backup.,Error en la verificación del paquete de respaldo,Verifica del pacchetto di backup fallita,백업 패키지 검증 실패,備份包校驗失敗
1001012,查询备份包版本失败，请查看日志详情,Failed to query the backup package version. Please view the log for more details,Abfrage der Version des Sicherungspakets fehlgeschlagen. Bitte sehen Sie sich die Protokolle für weitere Details an,バックアップパッケージのバージョン確認に失敗しました。ログの詳細を確認してください。,Échec de la vérification de la version du package de sauvegarde. Veuillez consulter le journal pour plus de détails.,Fout bij het opvragen van de back-up pakketversie. Bekijk het logboek voor meer details,Falha ao consultar a versão do pacote de backup. Veja os detalhes do log,No se pudo consultar la versión del paquete de respaldo. Consulte el registro para obtener más información,Impossibile interrogare la versione del pacchetto di backup. Visualizzare il log per maggiori dettagli,백업 패키지 버전 조회에 실패했습니다. 로그 상세 정보를 확인하세요.,查詢備份包版本失敗，請查看日誌詳情
1001013,操作失败，请查看日志详情,"Operation failed, please view the log for more details",Vorgang fehlgeschlagen. Bitte sehen Sie sich die Protokolle für weitere Details an,操作が失敗しました。ログの詳細を確認してください。,Opération échouée. Veuillez consulter le journal pour plus de détails.,Bewerking mislukt. Bekijk het logboek voor meer details,Falha na operação. Verifique o log,"Operación fallida, consulte el registro para obtener más detalles","Operazione fallita, visualizza il log per maggiori dettagli",작업이 실패했습니다. 로그 상세 정보를 확인하세요.,操作失敗，請查看日誌詳情
1001014,连接异常，请重新创建连接,Connection error. Please recreate the connection,"Verbindungsfehler, bitte Verbindung neu erstellen",接続にエラーが発生しました。接続を再作成してください。,Anomalie de connexion. Veuillez rétablir la connexion.,"Verbindingsfout, maak de verbinding opnieuw",Erro de conexão. Recrie a conexão,"Conexión anómala, por favor vuelve a crear la conexión",Errore di connessione. Ricrea la connessione,"연결 오류, 연결을 다시 생성하세요.",連接異常，請重新建立連接
