Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
connection_fail,连接失败，请尽快前往处理,"connection failed, please handle it promptly",Verbindung fehlgeschlagen. Bitte so schnell wie möglich bearbeiten,接続に失敗しました、できるだけ早く処理してください,"La connexion a échoué, veuillez la traiter immédiatement.","La conexión ha fallado, por favor, resuélvalo lo antes posible","A ligação falhou, por favor, trate-a prontamente.","Verbinding mislukt, handel dit onmiddellijk af.","Connessione fallita, gestisci prontamente","연결 실패, 즉시 처리 바랍니다",連接失敗，請儘快前往處理
rsync_backup_fail,任务失败，请及时处理,"rsync backup fail, please handle it promptly",Aufgabe fehlgeschlagen. Bitte rechtzeitig bearbeiten,タスクが失敗しました、できるだけ早く処理してください,"Échec de la sauvegarde rsync, veuillez le traiter immédiatement.","Fallo en la copia de seguridad de rsync, por favor, resuélvalo rápidamente","Falha no backup com Rsync, por favor, resolva o problema prontamente.","Rsync back-up mislukt, handel dit onmiddellijk af.","Backup Rsync fallito, gestisci prontamente","작업 실패, 즉시 처리 바랍니다",任務失敗，請及時處理
path_not_exist,因本地路径不存在导致任务失败，请及时处理,"task failed since local path not exist, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil der lokale Pfad nicht vorhanden war. Bitte rechtzeitig bearbeiten.",ローカルパスが存在しないため、タスクは失敗しました、できるだけ早く処理してください,"La tâche a échoué car le chemin local n'existe pas, veuillez le traiter immédiatement.","La tarea ha fallado porque la ruta local no existe, por favor, resuélvalo lo antes posible","A tarefa falhou porque o caminho local não existe, por favor, trate-o prontamente.","Taak mislukt omdat lokaal pad niet bestaat, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso locale non esiste, gestisci prontamente","로컬 경로가 존재하지 않아 작업 실패, 즉시 처리 바랍니다",因本地路徑不存在導致任務失敗，請及時處理
remote_path_not_exist,因远程路径不存在导致任务失败，请及时处理,"task failed since remote path not exist, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil der Remote-Pfad nicht vorhanden war. Bitte rechtzeitig bearbeiten.",リモートパスが存在しないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué car le chemin d'accès distant n'existe pas, veuillez le traiter immédiatement.","La tarea ha fallado porque la ruta remota no existe, por favor, resuélvalo lo antes posible","A tarefa falhou porque o caminho remoto não existe, por favor, trate-o prontamente.","Taak mislukt omdat pad op afstand niet bestaat, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso remoto non esiste, gestisci prontamente","원격 경로가 존재하지 않아 작업 실패, 즉시 처리 바랍니다",因遠程路徑不存在導致任務失敗，請及時處理
path_no_permission,因本地路径无权限导致任务失败，请及时处理,"task failed since local path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den lokalen Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",ローカルパスに権限がないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échouée car le chemin local n'est pas autorisé, veuillez le traiter immédiatement.","La tarea ha fallado ya que la ruta local no tiene permiso, por favor, resuélvalo lo antes posible","A tarefa falhou porque o caminho local não tem permissão, por favor, trate-a prontamente.","Taak mislukt omdat lokaal pad geen toestemming heeft, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso locale non ha permessi, gestisci prontamente","로컬 경로 권한이 없어 작업 실패, 즉시 처리 바랍니다",因本地路徑無權限導致任務失敗，請及時處理
remote_path_no_permission,因远程路径无权限导致任务失败，请及时处理,"task failed since remote path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den Remote-Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",リモート・パスにパーミッションがないため、タスクに失敗しました、できるだけ早く処理してください,"Task failed since remote path no permission, please handle it promptly.","La tarea ha fallado ya que la ruta remota no tiene permisos, por favor, resuélvalo lo antes posible.","A tarefa falhou porque o caminho remoto não tem permissão, por favor trate-o prontamente.","Taak mislukt omdat pad op afstand geen toestemming heeft, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso remoto non ha permessi, gestisci prontamente","원격 경로 권한이 없어 작업 실패, 즉시 처리 바랍니다",因遠程路徑無權限導致任務失敗，請及時處理
no_space_left_on_device,因本地存储空间不足导致任务失败，请及时处理,"Insufficient local storage space causing task failure, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil nicht genügend lokaler Speicherplatz vorhanden ist. Bitte rechtzeitig bearbeiten.",ローカル・ストレージ容量が不足しているため、タスクに失敗しました、できるだけ早く処理してください,"L'insuffisance de l'espace de stockage local est à l'origine de l'échec de la tâche, veuillez le traiter  immédiatement.","Insuficiente espacio de almacenamiento local causando un fallo en la tarea, por favor, resuélvalo lo antes posible","Espaço de armazenamento local insuficiente causando falha na tarefa, por favor, resolva o problema prontamente.","Onvoldoende lokale opslagruimte veroorzaakt taakstoring, handel dit onmiddellijk af.","Spazio di archiviazione locale insufficiente, causando il fallimento dell'attività, gestisci prontamente","로컬 저장 공간 부족으로 작업 실패, 즉시 처리 바랍니다",因本地存儲空間不足導致任務失敗，請及時處理
remote_no_space_left_on_device,因远程存储空间不足导致任务失败，请及时处理,"Insufficient remote storage space causing task failure, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil nicht genügend Remote-Speicherplatz vorhanden ist. Bitte rechtzeitig bearbeiten.",リモート・ストレージ容量が不足しているため、タスクに失敗しました、できるだけ早く処理してください,"L'insuffisance de l'espace de stockage à distance est à l'origine de l'échec de la tâche, veuillez le traiter  immédiatement.","Insuficiente espacio de almacenamiento remoto causando un fallo en la tarea, por favor, resuélvalo rápidamente","Espaço de armazenamento remoto insuficiente causando falha na tarefa, por favor, resolva o problema prontamente.",Onvoldoende opslagruimte op afstand veroorzaakt een mislukte taak.,"Spazio di archiviazione remoto insufficiente, causando il fallimento dell'attività, gestisci prontamente","원격 저장 공간 부족으로 작업 실패, 즉시 처리 바랍니다",因遠程存儲空間不足導致任務失敗，請及時處理
detail_task_interrupt,任务终止,task interrupt,Aufgabe abgebrochen,タスク終了,Interruption de tâche.,Interrupción de tarea,Interrupção da tarefa,Taakonderbreking.,Interruzione dell'attività,작업 종료,任務終止
detail_rsync_backup_fail,备份任务失败,Rsync backup fail,Sicherungsaufgabe fehlgeschlagen,バックアップ・タスクの失敗,La tâche de sauvegarde a échoué,Fallo en la copia de seguridad Rsync,Falha no backup Rsync,Rsync back-up mislukt.,Backup Rsync fallito,백업 작업 실패,備份任務失敗
detail_conn_closed,网络异常断开,Rsync connection unexpectedly closed,Netzwerk unerwartet getrennt,ネットワークの異常切断,La connexion réseau a été interrompue en raison d'un problème.,Conexión Rsync cerrada inesperadamente,Conexão Rsync fechada inesperadamente,Rsync-verbinding onverwacht gesloten.,Connessione Rsync chiusa inaspettatamente,네트워크 예외로 연결 끊김,網絡異常斷開
detail_quota_exceeded,空间超出限额,Disk quota exceeded,Speicherplatz überschreitet das Kontingent,容量が制限を超えた,Le quota de disque est dépassé.,Cuota de disco superada,Quota de disco excedida,Schijfquota overschreden.,Quota disco superata,공간 한도 초과,空間超出限額
detail_file_vanished,目录或文件消失,Directory or file vanished,Verzeichnis oder Datei verloren,ディレクトリまたはファイルの消失,Répertoire ou fichier disparu.,Directorio o archivo desaparecido,Diretório ou ficheiro desapareceu  ,Directory of bestand verdwenen.,Directory o file scomparsi,디렉토리 또는 파일이 사라짐,目錄或文件消失
detail_conn_reset_by_peer,连接被对端关闭,Connection reset by peer,Verbindung wurde von anderen Clients deaktiviert,相手側によって接続が閉じられた,Réinitialisation de la connexion par l'homologue.,Restablecimiento de la conexión por el homólogo,Conexão reiniciada pela outra parte,Verbinding gereset door peer.,Ripristino della connessione da parte del peer,연결이 상대방에 의해 종료됨,連接被對端關閉
detail_path_not_exist,本地路径%s不存在,local path %s not exist,Der lokale Pfad „%s“ nicht gefunden,ローカル・パス%sが存在しません,Le chemin local %s n'existe pas.,La ruta local %s no existe,Caminho local %s não existe,Lokaal pad %s bestaat niet.,Il percorso locale %s non esiste,로컬 경로 %s 존재하지 않음,本地路徑%s不存在
detail_remote_path_no_permission,远程路径%s无权限,remote path %s no permission,Keine Berechtigung für Remotepfad „%s“,リモート・パス%sにはパーミッションがありません,Chemin d'accès distant %s sans autorisation.,Ruta remota %s sin permiso,Caminho remoto %s sem permissão,Pad op afstand %s geen toestemming.,Percorso remoto %s senza autorizzazione,원격 경로 %s 권한 없음,遠程路徑%s無權限
detail_no_space_left_on_device,本地存储空间不足,No space left on local device,Unzureichender lokaler Speicherplatz,ローカル・ストレージ容量が不足しています,Il n'y a plus d'espace sur l'appareil local.,No queda espacio en el dispositivo local,Não há espaço disponível no dispositivo local,Geen ruimte meer op lokaal apparaat.,Non c'è più spazio sul dispositivo locale,로컬 저장 공간 부족,本地存儲空間不足
detail_remote_no_space_left_on_device,远程存储空间不足,No space left on remote device,Unzureichender Remote-Speicherplatz,リモート・ストレージの容量が不足しています,Il n'y a plus d'espace disponible sur le périphérique distant.,No queda espacio en el dispositivo remoto,Não há espaço disponível no dispositivo remoto,Geen ruimte meer op apparaat op afstand.,Non c'è più spazio sul dispositivo remoto,원격 저장 공간 부족,遠程存儲空間不足
detail_backup_package_init_fail,备份包初始化失败,Backup package init fail,Initialisierung des Sicherungspakets fehlgeschlagen,バックアップ・パッケージの初期化に失敗しました,Échec de l'initialisation du paquet de sauvegarde.,Fallo en la copia de seguridad del paquete init,Falha na inicialização do pacote de backup,Backup package init mislukt.,Il pacchetto di backup init fallisce,백업 패키지 초기화 실패,備份包初始化失敗
detail_pack_fail,打包失败,Pack fail,Verpackung fehlgeschlagen,パッケージ化に失敗しました,L'emballage a échoué.,Fallo del paquete,Falha na embalagem,Pakket mislukt.,Pacchetto fallito,패키징 실패,打包失敗
detail_unable_connect_server,无法连接远程服务器,unable to connect to remote server,Verbindung zum Remote-Server nicht möglich,リモート・サーバに接続できません,Impossible de se connecter au serveur distant.,No se puede conectar con el servidor remoto,Não é possível ligar ao servidor remoto,Kan geen verbinding maken met externe server.,Impossibile connettersi al server remoto,원격 서버에 연결할 수 없음,無法連接遠程服務器
detail_local_path_not_exist,本地路径不存在,local path is not not exist,Der lokale Pfad nicht gefunden,ローカルパスが存在しない,Le chemin local n'existe pas.,La ruta local no existe,O caminho local não existe,Lokaal pad bestaat niet.,Il percorso locale non esiste,로컬 경로가 존재하지 않음,本地路徑不存在
detail_remote_path_not_exist,远程路径不存在,remote path is not not exist,Remotepfad nicht gefunden,リモートパスが存在しない,Le chemin d'accès distant n'existe pas.,La ruta remota no existe,O caminho remoto não existe,Pad op afstand bestaat niet.,Il percorso remoto non esiste,원격 경로가 존재하지 않음,遠程路徑不存在
detail_path_no_permission,路径无权限,path is not permission,Keine Berechtigung für den Pfad,パスにパーミッションがない,Le chemin n'est pas une autorisation.,Ruta sin permiso,O caminho não tem permissão,Pad is geen toestemming.,Percorso non autorizzato,경로 권한 없음,路徑無權限
detail_sync_error,同步错误,synchronization failed,Synchronisierungsfehler,同期エラー,Échec de la synchronisation.,Error de sincronización.,Falha na sincronização,Synchronisatie mislukt.,Sincronizzazione fallita,동기화 오류,同步錯誤
detail_unknow_error,未知错误,unknown error,Unbekannter Fehler,不明なエラー,Erreur inconnue.,Error desconocido,Erro desconhecido,Onbekende fout.,Errore sconosciuto,알 수 없는 오류,未知錯誤
photo_backup_home_dir,个人文件夹,Personal Folder,Persönlicher Ordner,個人フォルダ,Dossier personnel.,Carpeta personal,Pasta pessoal,Persoonlijke map.,Cartella personale,개인 폴더,個人文件夾
detail_sync_remote_path_no_permission,远程路径无权限,remote path is not permission,Keine Berechtigung für Remotepfad,リモートパスにパーミッションがない,Le chemin d'accès distant n'est pas autorisé.,La ruta remota no tiene permiso,O caminho remoto não tem permissão,Pad op afstand is geen toestemming.,Il percorso remoto non è autorizzato,원격 경로 권한 없음,遠程路徑無權限
detail_folder_marker_missing,同步目录无权限，空间不足，丢失等，导致创建标记失败,"Permission denied or missing or insufficient space for the current sync directory, and the sync mark cannot be created successfully. You can cancel the sync task and create again (the synced files are not affected)","Aufgrund von keiner Berechtigung für das Synchronisierungsverzeichnis, unzureichendem Speicherplatz, Verlust usw. ist das Erstellen eines Markers fehlgeschlagen",同期ディレクトリにパーミッションがない、容量が足りない、見つからないなどの理由でマーカーの作成に失敗する,"Échec de la création du marquage en raison de l'absence de permission pour le répertoire de synchronisation, du manque d'espace ou de la perte de données, etc.","Permiso denegado o falta espacio o espacio insuficiente para el directorio de sincronización actual, y la marca de sincronización no se puede crear correctamente. Puede cancelar la tarea de sincronización y crearla de nuevo (los archivos sincronizados no se verán afectados)","Falta de permissão no diretório de sincronização, espaço insuficiente, perda de dados, etc., causam a falha na criação da marca de sincronização.","Toestemming geweigerd of ontbrekende of onvoldoende ruimte voor de huidige synchronisatie map, en de synchronisatie markering kan niet succesvol worden gemaakt. U kunt de synchronisatietaak annuleren en opnieuw aanmaken (de gesynchroniseerde bestanden worden niet beïnvloed).","Permesso negato o spazio insufficiente nella directory di sincronizzazione corrente, impossibile creare correttamente il segno di sincronizzazione. Puoi annullare l'attività di sincronizzazione e ricrearla (i file sincronizzati non saranno influenzati).","동기화 디렉토리 권한 없음, 공간 부족, 손실 등으로 인해 마크 생성 실패",同步目錄無權限，空間不足，丟失等，導致創建標記失敗
detail_sync_files_status_err,同步时发生文件状态异常,File status error occurred during synchronization,Beim Synchronisieren wurde Dateistatusfehler erkannt,同期中にファイルステータスの例外が発生,Une anomalie de l'état des fichiers s'est produite lors de la synchronisation.,Se ha producido un error de estado del archivo durante la sincronización,Ocorreu um estado de status de ficheiro durante a sincronização.,Fout in bestandsstatus opgetreden tijdens synchronisatie.,Errore di stato file durante la sincronizzazione,동기화 중 파일 상태 예외 발생,同步時發生文件狀態異常
detail_local_quota_exceeded,本地空间超出限额,Local Disk quota exceeded,Lokaler Speicherplatz überschreitet das Kontingent,ローカル領域の制限超過,L'espace local a dépassé la limite.,Se ha superado la cuota de disco local,Quota de disco local excedida,Lokale schijf quota overschreden.,Quota disco locale superata,로컬 공간 한도 초과,本地空間超出限額
detail_remote_quota_exceeded,远程空间超出限额,Remote Disk quota exceeded,Remote-Speicherplatz überschreitet das Kontingent,リモート領域の制限を超過,L'espace distant a dépassé la limite.,Cuota de disco remoto superada,Quota de disco remoto excedida,Schijfquota op afstand overschreden.,Quota del disco remoto superata,원격 공간 한도 초과,遠程空間超出限額
